SubNo,Exp,Targ,Dv
1,1,1,184
1,1,2,249
1,2,1,316.229104995728
1,2,2,497.499227523804
2,1,1,148.5
2,1,2,175
2,2,1,233.986973762512
2,2,2,400.727033615112
3,1,1,417
3,1,2,195
3,2,1,326.160192489624
3,2,2,433.756113052368
4,1,1,140.5
4,1,2,132
4,2,1,317.545890808105
4,2,2,346.427917480469
5,1,1,158.5
5,1,2,249
5,2,1,318.481922149658
5,2,2,316.229104995728
6,1,1,153
6,1,2,141
6,2,1,290.000081062317
6,2,2,374.720513820648
8,1,1,149.5
8,1,2,187.5
8,2,1,289.222002029419
8,2,2,329.963564872742
9,1,1,142.5
9,1,2,237
9,2,1,310.665130615234
9,2,2,473.759055137634
10,1,1,209
10,1,2,228.5
10,2,1,302.435517311096
10,2,2,437.601506710052
11,1,1,169.5
11,1,2,477.5
11,2,1,268.122434616089
11,2,2,506.610631942749
12,1,1,182.5
12,1,2,228.5
12,2,1,279.830455780029
12,2,2,388.959169387817
13,1,1,167.5
13,1,2,212
13,2,1,442.002415657043
13,2,2,465.982913970947
14,1,1,154
14,1,2,209.5
14,2,1,300.439119338989
14,2,2,486.147224903107
15,1,1,99.5
15,1,2,251
15,2,1,283.570051193237
15,2,2,437.98291683197
16,1,1,148
16,1,2,170
16,2,1,429.188966751099
16,2,2,393.935918807983
17,1,1,188
17,1,2,201
17,2,1,318.526029586792
17,2,2,316.487073898315
18,1,1,175
18,1,2,186.5
18,2,1,298.79093170166
18,2,2,298.122465610504
21,1,1,163
21,1,2,130
21,2,1,356.823921203613
21,2,2,432.254076004028
24,1,1,174.5
24,1,2,186.5
24,2,1,339.937210083008
24,2,2,446.220874786377
