easy_single_visual,easy_single_manual,difficult_single_visual,difficult_single_manual,trans_easy_single_visual,trans_easy_single_manual,trans_difficult_single_visual,trans_difficult_single_manual
0.748148148148148,0.838271604938272,0.657407407407407,0.669753086419753,1.04506184380459,1.15692731118934,0.945528934413595,0.958594081875582
0.964387464387464,1,0.9002849002849,0.977777777777778,1.38094505717596,1.5707963267949,1.24952090728212,1.42116741743538
0.945454545454546,0.947089947089947,0.811363636363636,0.58994708994709,1.3350695927455,1.33869618875078,1.12150991001994,0.875837600946901
0.959096459096459,1,0.842185592185592,0.849206349206349,1.36714530996585,1.5707963267949,1.1622686307994,1.17198678536474
0.958485958485959,1,0.933455433455433,0.880952380952381,1.36560962530459,1.5707963267949,1.3098837647754,1.21852261756847
0.945868945868946,1,0.738474488474488,0.637037037037037,1.33598364325571,1.5707963267949,1.03398823403996,0.924211552148299
0.990740740740741,0.981481481481482,0.892551892551892,0.815343915343915,1.4744221643276,1.43429001563259,1.23683000159981,1.1266177786915
0.939506172839506,0.981481481481482,0.915740740740741,0.806878306878307,1.32229156421048,1.43429001563259,1.27628269767046,1.1158032072727
0.881481481481481,0.787037037037037,0.64973544973545,0.555555555555556,1.21934030959546,1.09113459889073,0.937467190542478,0.84106867056793
0.892536475869809,0.962962962962963,0.761527978194645,0.740740740740741,1.2368051112445,1.37713802635057,1.06061444830324,1.03657028222698
0.901098901098901,0.986111111111111,0.752035002035002,0.91468253968254,1.25088177288105,1.45267067380251,1.04955057444733,1.27438332006641
0.919472502805836,0.981481481481482,0.816273849607183,0.825925925925926,1.28306904259062,1.43429001563259,1.12781726144831,1.14041008449749
0.836868686868687,1,0.826262626262626,0.844444444444444,1.15502553366154,1.5707963267949,1.14085424696408,1.16537570623037
0.89957264957265,0.925925925925926,0.775252525252525,0.681481481481481,1.24833419656591,1.29515352757863,1.07688270841083,0.971121036857759
0.984126984126984,0.984126984126984,0.960846560846561,0.888888888888889,1.44447246365261,1.44447246365261,1.37160952184789,1.23095941734077
0.945868945868946,0.984126984126984,0.839290339290339,0.892857142857143,1.33598364325571,1.44447246365261,1.15831246822981,1.23732315454306
0.972092722092722,0.962962962962963,0.884615384615385,0.807407407407407,1.40295468131982,1.37713802635057,1.22421637300652,1.116473732657
0.932659932659933,0.984126984126984,0.815656565656566,0.738095238095238,1.30829226038559,1.44447246365261,1.12702079160093,1.03355684446018
