easy_single_visual,easy_single_manual,difficult_single_visual,difficult_single_manual
229,770.017147064209,267.5,821.583986282349
237,708.41383934021,232,863.420486450195
384.5,701.340317726135,410,694.082021713257
204.5,737.165927886963,202.5,684.765934944153
204,838.228940963745,199,810.527443885803
217,710.021376609802,223.5,772.783041000366
209,693.4494972229,206,716.598033905029
220,611.010074615479,224,608.090877532959
364.5,1002.00796127319,534.5,992.78712272644
232.5,817.629814147949,227,851.398587226868
253,561.073064804077,261.5,550.513029098511
218,863.743782043457,215,819.746971130371
198,880.931973457336,206.5,899.422407150269
230,826.264023780823,222,833.424091339111
251,682.820081710815,239.5,722.815036773682
233,699.99098777771,213,702.873945236206
201.5,816.531538963318,199,794.396042823792
198.5,645.328998565674,200,647.801041603088
