intercepts_visual,slopes_visual,intercepts_manual,slopes_manual
-0.0365842490842491,-0.0238049450549451,0.452861952861953,-0.0132034632034632
0.0708145558145559,-0.0568811188811189,0.326599326599327,-0.0708333333333333
0.238888888888889,-0.106388888888889,0.261437908496732,-0.0985294117647059
0.110933886604385,-0.109314204314204,0.239766081871345,-0.0977631578947368
0.129313073757518,0.0318376068376068,0.23202614379085,-0.101960784313725
0.232723534447672,-0.0760773230600817,0.381018518518519,-0.0553472222222222
0.101528286528287,-0.134088217338217,0.223611111111111,-0.0987377450980392
0.153084392547994,-0.0820987654320988,0.231578947368421,-0.089078947368421
0.0776153346328785,-0.0957017543859649,0.246187363834423,-0.1
0.0865440115440115,-0.0225703463203463,0.201234567901235,0.012962962962963
0.0849721883055217,-0.0847033984533985,0.136528685548293,-0.125381263616558
0.0353855198299643,-0.0573188169854837,0.247888239116309,-0.0990253411306043
0.284137755757983,-0.0298293267333515,0.304029304029304,-0.0669566544566545
-0.0135185185185185,0.00611231884057971,0.27124183006536,-0.0820261437908497
0.0618188395966174,-0.124413241079908,0.249001452432825,-0.0949074074074074
0.12078853046595,-0.0791935483870968,0.203216374269006,-0.108684210526316
0.161550297975419,-0.0851316321896032,0.247563352826511,-0.0946393762183236
0.062962962962963,-0.153888888888889,0.230936819172113,-0.0848039215686275
0.172962962962963,-0.113448717948718,0.295343137254902,-0.0897058823529412
