means_visual,sds_visual,slopes_visual,means_manual,sds_manual,slopes_manual
2.47944987394552,16.7215168448922,-0.0238580198257131,10,2.09613628537139,-0.190322682349229
5.2403301861263,6.62493101060009,-0.0602183297853386,7.44391925597166,2.28098428216046,-0.174899179938044
6.17616009605707,2.06600525224285,-0.193098386351314,6.41043037268264,2.20271655657341,-0.181113761192241
5.24814356392842,2.54436971006081,-0.156794147809556,6.3104981887219,2.25661264143223,-0.176788108458096
10,29.1201369322036,-0.0136998765263445,6.13869107433218,2.38282623719072,-0.167423991802177
6.75239345638615,3.37791380617908,-0.118103155761898,7.9828189530464,2.04937232384461,-0.19466559383071
5.92673089104676,3.46744095352916,-0.115053806466521,6.4524151117052,3.15787156822689,-0.126332648995423
4.94028978972549,3.10974991946797,-0.128287576407329,6.34980634614562,2.31058744190462,-0.172658378196925
7.57526512608355,15.8911948611221,-0.0251046119494417,10,13.9799289624147,-0.0285367888115882
5.02503277524471,3.98441459548311,-0.100125694964999,5.11755431877924,1.99068768683804,-0.200404253785838
4.60268655768973,6.52567384315293,-0.0611342659762292,6.21719900902047,2.39402034064389,-0.166641140690615
10,7.3552068863649,-0.0542394369818465,7.02321510893277,2.95116289640907,-0.135181382527836
-1.99999999999998,421.599706651196,-0.000946258439243866,6.97280322072088,3.29248202992666,-0.121167640939355
4.39136418464544,2.16905363080128,-0.183924581087494,6.43999225609303,2.61425835045854,-0.152602469580506
5.59521313360013,3.89887269655224,-0.102322468941911,5.85002824572541,2.45621295201323,-0.162421698849214
5.90291903665404,3.59745187528539,-0.110895793531577,6.43610130154945,2.33674106040908,-0.170725925589544
4.55030461630337,1.0458165393403,-0.381464879732236,6.56929410238961,3.56122364572821,-0.112023933369075
5.67435678770052,2.01911075070257,-0.19758315895382,6.7169608533113,1.90634285554389,-0.209271002454389
